,text
614,dkb ag abrechnung siehe anlage abrechnung information zur abrechnung kontostand am abrechnungszeitraum vom bis zinsen für eingeräumte kontoüberziehung v h kred zins bis abrechnung sollzinssätze am v h für eingeräumte kontoüberziehung aktuell eingeräumte kontoüberziehung v h für geduldete kontoüberziehung über die eingeräumte kontoüberziehung hinaus es handelt sich hierbei um eine steuerfreie leistung kontostand rechnungsabschluss am rechnungsnummer
615,cursor ai powered ide xxxx xxxx auslandseinsatzentgelt card debitkarte
616,cursor ai powered ide cursor com us kurs uhr
617,lime fahrt mazq frankfurt apple pay
618,max rischarts backhaus muenchen apple pay
619,paypal europe s a r l et cie s c a bolt operations ou ihr ein bei bolt operations ou
620,dott scooter ride amsterdam nl apple pay
621,paypal europe s a r l et cie s c a bolt operations ou ihr ein bei bolt operations ou
622,edeka krumlovsky muenchen apple pay
623,phone pizza munchen apple pay
624,esso station ransbach ransbach ba apple pay
625,spessart sued raststae rohrbrunn apple pay
626,apple com bill itunes com ie apple pay
627,mcdonalds weibersbrun apple pay
628,nyx regus duesseldorf apple pay
629,rewe muenchen rame muenchen apple pay
630,hoyer automatenstation ingolstadt
631,amazon prim luxembourg uhr
632,hotel booking com amsterdam nl apple pay
633,pizza hut muenchen apple pay
634,penny milbertshofen muenchen apple pay
635,helinam schnellrestaur muenchen apple pay
636,nyx regus muenchen apple pay
637,edeka kreillerstr muenchen apple pay
638,oil oberhausen apple pay
639,mcdonalds bad camberg apple pay
640,zentrale bussgeldstelle d hardy philipp a lexander
641,duesseldorf sevens duesseldorf apple pay
642,paypal europe s a r l et cie s c a pp pp miles mo bility gmbh ihr ein bei miles mobility gmbh
643,gmbh co kg oberhausen apple pay
644,dm drogerie markt oberhausen apple pay
645,amazon payments europe s c a amzn mktp
646,www perplexity ai xxxx xxxx auslandseinsatzentgelt card debitkarte
647,www perplexity ai www perplex us kurs uhr
648,paypal europe s a r l et cie s c a thalia bucher gmbh ihr ein bei thalia bucher gmbh
649,bargeldauszahlung card stadtsparkasse oberhau alstaden bargeldauszahlung
650,apple com bill itunes com ie apple pay
651,philipp hardy ausgleich vergnugen und lebenserhal tung
652,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
653,paypal europe s a r l et cie s c a pp pp axonic i nformationssysteme gmbh ihr einkau f bei axonic informationssysteme gm bh
654,a i fitness gmbh ultr a flex
655,stratode berlin debitkarten
656,hardy philipp zahltag besoldung
657,keep me flying gmbh lxoqr
658,stratode berlin debitkarten
659,philipp hardy p awv meldepflicht beachten hotline bundesbank
660,philipp hardy rückzahlung kaution muc putzbrunn
661,hotelmaseven trudering muenchen debitkarten
662,klarmobil gmbh kd wir sagen danke rg nr eur
663,hetzner online gmbh gunzenhausen debitkarten
664,ebay s a r l boulevard royal luxembourg l ebay c
665,ebay s a r l boulevard royal luxembourg l ebay c
666,ebay s a r l boulevard royal luxembourg l ebay c
667,ebay s a r l boulevard royal luxembourg l ebay c
668,philipp hardy p awv meldepflicht beachten hotline bundesbank
669,philipp hardy p awv meldepflicht beachten hotline bundesbank
670,stratode berlin debitkarten
671,debeka versicherungen unfall haftpfl f rente
672,deutscher bundeswehrverband e v beitrag mrz
673,keep me flying gmbh
674,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
675,philipp hardy ausgleich vergnügen und lebenserhaltung
676,deutsche welthungerhilfe e v sparkasse koelnbonn spende
677,julian hardy coworking philipp
678,apple com bill ie apple pay
679,amazon payments europe s c a amzn mktp
680,apple com bill itunes com ie apple pay
681,hotel booking com amsterdam nl gutschriftsbeleg
682,stadtkasse duesseldor aktenzeichen
683,amznprime amzn inf
684,yorma s muenchen conta muenchen apple pay
685,hotel booking com amsterdam nl apple pay
686,paypal europe s a r l et cie s c a pp pp miles mo bility gmbh ihr ein bei miles mobility gmbh
687,schloss burger gmbh muenchen apple pay
688,paypal europe s a r l et cie s c a miles mobility gmbh ihr ein bei miles mobility gm bh
689,paypal europe s a r l et cie s c a pp pp miles mo bility gmbh ihr ein bei miles mobility gmbh
690,friseur scharfenkamp oberhausen apple pay
691,openai xxxx xxxx auslandseinsatzentgelt card debitkarte
692,openai openai com us kurs uhr
693,coffee brew dusseldorf dusseldorf apple pay
694,philipp hardy rueckzahlung auto versicherung
695,oil oberhausen apple pay
696,apple com bill ie apple pay
697,google cloud dublin ie
698,philipp hardy auto
699,philipp hardy ausgleich vergnugen und lebenserhal tung
700,paypal europe s a r l et cie s c a payward ltd ihr ei n bei payward ltd
701,paypal europe s a r l et cie s c a pp pp perlego ltd ihr ein bei perlego ltd
702,paypal europe s a r l et cie s c a pp pp axonic i nformationssysteme gmbh ihr einkau f bei axonic informationssysteme gm bh
703,a i fitness gmbh star terpauschale ultra flex ultra flex
704,hardy philipp zahltag besoldung
705,stratode berlin debitkarten
706,klarmobil gmbh kd wir sagen danke rg nr eur
707,udemy debitkarten
708,hetzner online gmbh gunzenhausen debitkarten
709,deutscher bundeswehrverband e v beitrag feb
710,debeka versicherungen unfall haftpfl f rente
711,philipp hardy auto
712,philipp hardy ausgleich vergnügen und lebenserhaltung
713,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
714,julian hardy coworking philipp
715,deutsche welthungerhilfe e v sparkasse koelnbonn spende
716,webid solutions gmbh webid ident
717,apple com bill ie apple pay
718,apple com bill itunes com ie apple pay
719,paypal europe s a r l et cie s c a uniqlo europe ltd ihr ein bei uniqlo europe ltd
720,uniqlo dusseldorf apple pay
721,massimo dutti duesseldorf apple pay
722,ph grabbeplatz duesseldorf apple pay
723,edeka tankstelle ingolstadt apple pay
724,edeka braun ingolstadt apple pay
725,star duisburg duisburg apple pay
726,mcdonalds hessdorf apple pay
727,amznprime amzn inf
728,bullhut bbq duesseldorf apple pay
729,duesseldorf koe bogen duesseldorf apple pay
730,aldi sued duesseldorf apple pay
731,bargeldauszahlung card stadtsparkasse oberhau buschhaus bargeldauszahlung
732,uzr bero apotheke oberhausen apple pay
733,dm drogerie markt oberhausen apple pay
734,amzn mktp
735,shell duesseldorf apple pay
736,dott scooter ride none nl apple pay
737,dott scooter ride amsterdam nl apple pay
738,philipp hardy huk kfz versicherung
739,philipp hardy kfz versicherung
740,thank you evhcle munchen
741,thank you evhcle munchen
742,philipp hardy ausgleich vergnugen und lebenserhal tung
743,paypal europe s a r l et cie s c a pp pp ihr ei n bei
744,rudolfshuette uttendorf apple pay
745,mcdonalds muenchen apple pay
746,thank you evhcle munchen
747,prime video
748,paypal europe s a r l et cie s c a pp pp axonic i nformationssysteme gmbh ihr einkau f bei axonic informationssysteme gm bh
749,hardy philipp zahltag besoldung
750,deutsche lebens rettungs ges bezirk düsseldorf e v mitgliedsbeitrag dlrg duesseldorf e v abzugsfaehig gem freistellungsbescheid vom st nr
751,stratode berlin debitkarten
752,stratode berlin debitkarten
753,hardy philipp vers nr h beitragsguthaben
754,klarmobil gmbh kd wir sagen danke rg nr eur
755,hetzner online gmbh gunzenhausen debitkarten
756,philipp hardy huk kfz versicherung
757,julian hardy coworking philipp rest
758,stratode berlin debitkarten
759,debeka versicherungen unfall haftpfl f rente
760,ag kraftfahrt versicherung h ob ph folgebeitrag zum
761,deutscher bundeswehrverband e v beitrag jan
762,philipp hardy ausgleich monatsanteil auto steuer und versicherung und reperatur und tüv
763,philipp hardy ausgleich vergnügen und lebenserhaltung
764,deutsche welthungerhilfe e v sparkasse koelnbonn spende
